id,name,region,distance,climb_score,effort_count,start_latlng_lat,start_latlng_lon,end_latlng_lat,end_latlng_lon,average_grade,maximum_grade,total_elevation_gain,surface_type,polyline
5674220,kubed,['Koper'],4209.1,6.4506,23983,45.532477,13.872523,45.519949,13.869846,3.9,13.0,165.4,unknown,}`|tGgntsAZIr@s@Py@AgA[iDWgE?y@Li@`@u@l@o@b@i@JQp@kBp@gBNQz@aBpAuDb@y@`@c@NKj@OdAQTIh@_@h@_AL]d@_ALMPSxA}@x@m@tAkAl@q@|DaEPUhAiAbAw@lBiAt@YrB[~@SRKtAgAr@[VIr@C^BVFp@Vh@\r@z@j@dARXd@`@XJ\@|AKR@b@NVXLRN`@Jt@BZAj@If@Qn@o@pBUfAKr@WvAM`@]t@s@dACRu@~@{@v@eAr@iBz@o@r@IRa@l@Wh@{@rABXy@tAG^Q\gAhBa@hAu@hCM`BSt@Mv@QfCEpCe@bFe@vBEZAt@@XDXR^l@^j@Cb@]l@aA`A{@~AiAZYnBaClBoCh@o@NKnAi@fB_AZIRAH?TNVh@Ff@Ct@OvAIpA?ZHjDAt@?dAFX^z@
22468946,Crni kal bivio kastelec,['Koper'],3831.4,6.7116,39252,45.55165,13.872058,45.569752,13.872436,4.2,6.2,159.8,unknown,yx_uGiktsAm@kBY]_@Ma@?mAV_@De@E[WUw@FcAXi@n@Sp@?p@Jv@VvAj@h@Lh@B`@El@U`@a@`@o@Na@l@kC\cAd@w@r@{@h@k@`@k@R_@XcAJu@JgDHu@^_Al@e@nAOd@K\o@M{AaAMMJaAlAwAx@[XYb@q@pB[n@a@f@m@^s@Ji@AmCMsBE{AFw@Ji@Lc@Rc@ZwBxBm@^q@Hq@Ee@SyAs@o@Wk@Oi@Gy@@uFx@cAV_Ab@]Xu@r@_ChCm@h@e@Ze@V}CxAc@ZuBfBeBbBcAz@kAv@eAh@c@PqA^k@JqAN{ADe@?k@EyAQ}@OsBg@_@GiCUw@?uDNqA@y@EaAOw@Wq@]
5034064,Marezige climb,['Koper'],2157.4,4.224,13829,45.500625,13.782926,45.509345,13.806937,4.4,14.0,96.0,unknown,{yutGg~bsAOu@[k@YSiBe@_@c@a@_AYmAOaAgAkD{@aFU_AQi@y@iBOg@S{@_@iCUy@Ga@Um@Gc@iAcEEUoAaEs@gB_BgD_@mAO_AImAGi@Qs@cA_DuAuGaAaDg@yCKu@SsCKe@IUMQSKOOa@gASoAGu@QeA]}AaAsD{@kHy@_F_@iCSkB
17099541,Galantiči,['Koper'],374.9,1.5925,13278,45.492951,13.871869,45.494273,13.868047,6.5,13.8,24.5,unknown,}ittGcjtsA_@VoAp@[ZIRGl@@lEAvCE`BEPOVs@bAY\
27025165,Vrh Dekani Rizana,['Koper'],4473.2,0.1017,42592,45.552573,13.800975,45.542521,13.849993,0.3,5.1,33.9,unknown,q~_uGaofsAdAcBr@aAnAqAxAgApBqA`Bu@`@O`Cm@d@OfAe@b@Ur@g@r@o@p@w@z@sAp@sAb@eATq@h@yBv@iFp@kFr@yEd@cBr@sB`CuF\aAj@_C`@gCZgDXeGXmEHeBBaFh@iGFwA@m@Cm@MuBQgAMq@Qo@{@wB}AmDs@uBg@sBQ{BA}BBs@RcBd@cDVmEFs@Jq@Z_BpCsJNk@PcAFo@t@_Oz@sKPmDDsBIoFGuAOuA_@gBiBqEYcASiAa@eDm@oDIkB@yEF_AJi@Vw@j@{@z@s@b@g@T_@Rc@`@oAvAgD^kA
14715874,Crni Kal - Rizana downhill,['Koper'],6036.4,0.0,26570,45.569276,13.872045,45.543313,13.852986,-4.5,0.0,0.0,unknown,}fcuGgktsAvAPfABj@?tDO~@Ar@Br@Fv@L|Bh@tAV`AJr@BbA?dAGt@IrAUpBq@nAo@lByA|C}C`Ay@`Ak@dD{Al@a@l@g@j@m@`BwB\_@p@g@b@Sv@UhB]pCa@v@Cx@Fv@P~CvAb@Hb@?b@G`@Q\[fAoAn@i@r@_@b@KjAOjAGx@@|EPd@Ab@EPG^Sh@o@Vg@n@oBVi@\[`Ai@^Y|@kANEP?NFJNFRBVGVIR]JgAJc@N_@XYn@IVMt@MrDI|@KZm@jAkBxB_@l@g@rAs@rC]r@QVSRUPo@JW@WCo@MsBs@m@OUEm@Ai@DSNOPMTIXE\?ZBZFZNR`@\PBjCc@R?RDNJLPHRFj@?j@JPFDd@FtCl@hAD`@E^G|@]~A{@t@Sv@Gd@Db@Lp@\\Tb@h@z@rAp@|@x@v@zEdDd@Vv@\~Af@v@\rA~@\\Zb@h@x@b@|@d@rATdAPhBDjDCzAI~@GxA?|AD~@P|ANv@|@fDPx@F`A?b@C`@S`AYz@eAhCu@xB_@|AQdBAfAB`@LdAF^`A|CPdADb@AlA]xDKnB?nBHnB
8499882,Tajano from Podgorje (most hard climb),"['Hrpelje-Kozina', 'Koper']",4210.4,47.7636,1926,45.529208,13.952678,45.530672,13.974497,10.6,24.6,450.6,unknown,ol{tGecdtATk@lA{B\_@`CqBbBoA|@y@zCkC\a@\[Xc@`@WdA_@nDsBd@MbAm@\a@`@UjADd@Id@KdA_@b@IjAGd@Eb@K`@Q`@WZa@~@{@pBcC^]`@W\_@x@gAzAyA^Yb@Y\a@Vi@Rk@Ps@@u@c@@c@Le@Fe@Gc@Ic@Se@GMq@@s@e@KiAIe@Ia@SkAYa@U[g@Cs@Fu@Ti@Xc@Pk@^cB|@uCh@uARo@t@kBPm@j@oCHs@Lo@RgBGu@Sq@a@e@e@SgAw@c@Ge@@c@Ga@XSm@S}Be@qBa@{B_@gBQoBBeATeBaAD}A~@a@L_An@c@wANmBBw@{Ah@a@Se@E_@YeAWc@A}@v@m@pAUi@Ms@QeBU}@sA`@OfBYj@iAP}@`Ae@Gc@Ne@De@Ae@Ye@@e@O}@aAc@Wc@Ga@UWi@a@[a@Mg@AkAVoCdAa@X
1728628,Rakitovec 71 Climb,['Koper'],2996.01,30.035412,1461,45.4765373887,13.9202190377,45.4623546218,13.9503685758,9.9,25.8,303.388,unknown,icqtGix}sATiCBICI@uAAUDaAFOP_AJm@?QFQ@SPm@Zu@DS@]FUPyAFm@~@_CfA}ChAmCNYFa@FMx@gA~@a@HAr@u@Pg@R[f@oB\_Cr@oC|AqDZ}@bAaC\mATaAPe@Ra@fAaELu@hAqFl@}EBi@RGHmAHa@Z{@`@u@L]RiCAa@Iy@?wAAF@G@a@Hw@ByABSDOTY`Ak@l@SX?JE`@Ej@KFIv@c@xAuAfCgDPe@f@{@^iAf@y@Tg@n@y@z@y@LYLe@RqAPmBZmA^aAXk@La@Xc@J_@Tk@R]FWTY^q@h@u@LYn@u@d@]zAiCNOh@{@PQZe@
26174932,odcep Bezovica-Kubed,['Koper'],535.6,1.8704,1559,45.524646,13.888699,45.525607,13.883695,5.6,15.0,33.4,unknown,_pztGiswsAcAxAk@^eBf@_@POLKLIRETCn@@bAFzANxAZzBTbAL\h@z@FPDV?VGRc@r@CHBT
24810338,mejni prehod - Sočerga,['Koper'],2272.6,3.471,3045,45.457737,13.907714,45.463724,13.898191,3.9,5.8,89.0,unknown,ymmtGej{sAK\m@pAKVUjAm@r@a@Z}Az@WXQ`@Kf@@dANp@b@bAJt@KbAm@~Ac@dBSbBY`DOf@U\{AlAq@r@e@r@Qd@GZAL@z@Pt@Zj@t@dAPb@Jf@Dj@@tADv@\`CJxAAtAEZIVGJg@b@o@@k@U_CuAm@MgAI_Be@gAg@ICQ@OLKR_@pAEH[Ve@Lc@Vi@h@MTUn@Mr@ObAMhDCJWVI@QEO_@AYD[ZwATkAPwAXwAXw@P_@`AaBZy@Lq@DeA?g@MaAY}@
